learning_rate,num_epochs,best_epoch_within_run,val_acc,val_f1,test_acc,test_f1,elapsed_s
1e-05,4,3,0.8512396694214877,0.8357508600791453,0.8347107438016529,0.8093100819515914,394.5
2e-05,4,2,0.8553719008264463,0.833699098740054,0.8326446280991735,0.807635122194089,394.0
2e-05,3,2,0.8491735537190083,0.8309761915873586,0.8285123966942148,0.8014296334419854,296.8
1e-05,3,3,0.8471074380165289,0.8304957089528306,0.8388429752066116,0.8130332528497268,288.2
5e-05,4,2,0.8533057851239669,0.8268585905760991,0.8078512396694215,0.7736944499092836,393.7
5e-05,3,2,0.8450413223140496,0.8202657917532888,0.8202479338842975,0.7928170931246749,296.9
